epoch: 0/1000, 	loss: 1.5708076302242375,	 best_loss: 1.5708076302242375
epoch: 10/1000, 	loss: 1.478047288528297,	 best_loss: 1.4618461475209703
epoch: 20/1000, 	loss: 1.4871650642473455,	 best_loss: 1.4618461475209703
epoch: 30/1000, 	loss: 1.6126617649971782,	 best_loss: 1.4618461475209703
epoch: 40/1000, 	loss: 1.6385567252829656,	 best_loss: 1.4618461475209703
epoch: 50/1000, 	loss: 1.685691480292241,	 best_loss: 1.4618461475209703
epoch: 60/1000, 	loss: 1.7188620287532672,	 best_loss: 1.4618461475209703
epoch: 70/1000, 	loss: 1.7448684900191984,	 best_loss: 1.4618461475209703
epoch: 80/1000, 	loss: 1.7570534848879906,	 best_loss: 1.4618461475209703
epoch: 90/1000, 	loss: 1.7469403808310613,	 best_loss: 1.4618461475209703
epoch: 100/1000, 	loss: 1.7540071119396474,	 best_loss: 1.4618461475209703
epoch: 110/1000, 	loss: 1.746193066882035,	 best_loss: 1.4618461475209703
epoch: 120/1000, 	loss: 1.7434220769579933,	 best_loss: 1.4618461475209703
epoch: 130/1000, 	loss: 1.7491580824196757,	 best_loss: 1.4618461475209703
epoch: 140/1000, 	loss: 1.7484778613001557,	 best_loss: 1.4618461475209703
epoch: 150/1000, 	loss: 1.7489314691472795,	 best_loss: 1.4618461475209703
epoch: 160/1000, 	loss: 1.7533717221218938,	 best_loss: 1.4618461475209703
epoch: 170/1000, 	loss: 1.7431657893009627,	 best_loss: 1.4618461475209703
epoch: 180/1000, 	loss: 1.7487655567190235,	 best_loss: 1.4618461475209703
epoch: 190/1000, 	loss: 1.749472627070627,	 best_loss: 1.4618461475209703
epoch: 200/1000, 	loss: 1.7491897546659143,	 best_loss: 1.4618461475209703
epoch: 210/1000, 	loss: 1.7442984564254134,	 best_loss: 1.4618461475209703
epoch: 220/1000, 	loss: 1.7476189546623344,	 best_loss: 1.4618461475209703
epoch: 230/1000, 	loss: 1.7461392663068016,	 best_loss: 1.4618461475209703
epoch: 240/1000, 	loss: 1.752996398548903,	 best_loss: 1.4618461475209703
epoch: 250/1000, 	loss: 1.74725541308029,	 best_loss: 1.4618461475209703
epoch: 260/1000, 	loss: 1.7468907513852823,	 best_loss: 1.4618461475209703
epoch: 270/1000, 	loss: 1.7448474931621265,	 best_loss: 1.4618461475209703
epoch: 280/1000, 	loss: 1.752255658687297,	 best_loss: 1.4618461475209703
epoch: 290/1000, 	loss: 1.746217225714696,	 best_loss: 1.4618461475209703
epoch: 300/1000, 	loss: 1.739286001132747,	 best_loss: 1.4618461475209703
epoch: 310/1000, 	loss: 1.746020866014295,	 best_loss: 1.4618461475209703
epoch: 320/1000, 	loss: 1.7470132263158724,	 best_loss: 1.4618461475209703
epoch: 330/1000, 	loss: 1.7440645758103703,	 best_loss: 1.4618461475209703
epoch: 340/1000, 	loss: 1.7447719483102935,	 best_loss: 1.4618461475209703
epoch: 350/1000, 	loss: 1.7448298880903268,	 best_loss: 1.4618461475209703
epoch: 360/1000, 	loss: 1.7478456776981488,	 best_loss: 1.4618461475209703
epoch: 370/1000, 	loss: 1.7449725368914897,	 best_loss: 1.4618461475209703
epoch: 380/1000, 	loss: 1.7463992114291866,	 best_loss: 1.4618461475209703
epoch: 390/1000, 	loss: 1.7470327566715038,	 best_loss: 1.4618461475209703
epoch: 400/1000, 	loss: 1.7537549524871612,	 best_loss: 1.4618461475209703
epoch: 410/1000, 	loss: 1.7454340325195787,	 best_loss: 1.4618461475209703
epoch: 420/1000, 	loss: 1.7456719074230136,	 best_loss: 1.4618461475209703
epoch: 430/1000, 	loss: 1.7435618342463686,	 best_loss: 1.4618461475209703
epoch: 440/1000, 	loss: 1.7489818403928905,	 best_loss: 1.4618461475209703
epoch: 450/1000, 	loss: 1.7479491159693528,	 best_loss: 1.4618461475209703
epoch: 460/1000, 	loss: 1.7471994845534757,	 best_loss: 1.4618461475209703
epoch: 470/1000, 	loss: 1.7477655767079223,	 best_loss: 1.4618461475209703
epoch: 480/1000, 	loss: 1.7454209565638061,	 best_loss: 1.4618461475209703
epoch: 490/1000, 	loss: 1.7455610650233782,	 best_loss: 1.4618461475209703
epoch: 500/1000, 	loss: 1.7542086685433191,	 best_loss: 1.4618461475209703
epoch: 510/1000, 	loss: 1.7497944396620648,	 best_loss: 1.4618461475209703
